normalized_label,count
other,1521
low_info,786
unknown,226
trna,155
membrane_protein,155
transferase,146
transcriptional_regulator,143
synthase,140
abc_transporter,140
transporter,136
reductase,136
dehydrogenase,94
dna_binding,89
kinase,87
protease,73
phosphatase,62
ribosomal_rna,53
nuclease,48
toxin_antitoxin,46
hydrolase,44
chaperone,38
flagellar,34
efflux_pump,32
isomerase,30
two_component_system,28
cell_division,27
polymerase,26
transposase,23
ligase,23
acetyltransferase,20
phage_related,18
pili_fimbriae,16
methyltransferase,16
lps_capsule,14
helicase,14
atpase,13
secretion_system,13
cell_wall_biosynthesis,12
chemotaxis,10
sigma_factor,9
glycosyltransferase,8
crispr_cas,7
ribosomal_protein,6
restriction_modification,6
gtpase,6
dna_repair,5
recombinase,4
topoisomerase,4
integrase,3
lipase,2
rna_binding,1
